PLAYER NAME,AVG_APPROACH_BIRDIE_OR_BETTER,AVG_APPROACH_BOGEY_OR_WORSE,AVG_APPROACH_PAR,AVG_APPROACH_SHOT_DISTANCE,FAIRWAY_APPROACH_RTP,GIR_PCT_FAIRWAY_BUNKER,GIR_PCT_FAIRWAY,GIR_PCT_OTHER,GIR_PCT_OVERALL,GIR_PCT_100-125,GIR_PCT_OVER_100,GIR_PCT_125-150,GIR_PCT_150-175,GIR_PCT_175-200,GIR_PCT_OVER_200,GIR_PCT_75-100,GIR_PCT_UNDER_100,GIR_PCT_UNDER_125,GIR_PCT_UNDER_75,GREEN_PCT_SAND_SAVES,GREEN_PCT_SCRAMBLE,GREEN_PCT_SCRAMBLE_FRINGE,GREEN_PCT_SCRAMBLE_ROUGH,GREEN_PCT_SCRAMBLE_SAND,FINISHES_FEDEXCUP_BONUS,FINISHES_OFFICIAL_MONEY,FINISHES_TOP10,FINISHES_OFFICIAL_UNOFFICIAL_MONEY,TEE_AVG_APEX,TEE_AVG_BALL_SPEED,TEE_BALL_STRIKING,TEE_AVG_CARRY,TEE_LONGEST_CARRY_DISTANCE,TEE_AVG_CARRY_EFF,TEE_AVG_CLUB_HEAD_SPEED,TEE_AVG_DISTANCE_FROM_CENTER_FR,TEE_DRIVING_ACCURACY_PCT,TEE_AVG_DRIVING_DISTANCE,TEE_AVG_FAIRWAY_BUNKER_TENDENCY_PCT,TEE_AVG_FIR_PCT,TEE_AVG_LAUNCH_ANGLE,TEE_AVG_LEFT_ROUGH_TENDENCY_PCT,TEE_LONGEST_DRIVES,TEE_AVG_RIGHT_ROUGH_TENDENCY_PCT,TEE_AVG_SMASH_FACTOR,TEE_AVG_SPIN_RATE,PUTTING_AVG_ONE_PUTTS,PUTTING_AVG_TWO_PUTTS,PUTTING_AVG_THREE_PUTTS,PUTTING_APPROACH_PERFORMANCE,PUTTING_AVG_DIST_BIRDIE,PUTTING_AVG_DIST_EAGLE,PUTTING_AVG_DIST_MADE,PUTTING_PCT_BIRDIE_OR_BETTER,PUTTING_AVG_OVERALL,PUTTING_AVG_PUTTS,SCORING_AVG_BIRDIES,SCORING_PCT_BIRDIE_OR_BETTER,SCORING_BIRDIE_BOGEY_RATIO,SCORING_BOGEY_AVERAGE,SCORING_EAGLES_PER_HOLE,SCORING_PAR3_AVERAGE,SCORING_PAR4_AVERAGE,SCORING_PAR5_AVERAGE,SCORING_ROUNDS_IN_60S,SCORING_AVG_OVERALL,SCORING_TOTAL_BIRDIES,SCORING_TOTAL_EAGLES,STREAKS_CUTS_MADE,STREAKS_FIRS_MADE,STREAKS_GIRS_MADE,STREAKS_HOLES_UNDER_PAR
Ernie Els,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,673",,"$18,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0
Rod Pampling,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,338",,"$18,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Rich Beem,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,400",,"$17,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0
Michael Kim,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,258",,"$17,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,3.0
Bernhard Langer,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,117",,"$16,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,3.0
Greg Chalmers,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,614",,"$15,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Tim Herron,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,494",,"$15,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,3.0
Derek Ernst,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,205",,"$14,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0
Chris Couch,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,700",,"$13,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,2.0
Brian Davis,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,665",,"$7,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0
Dicky Pride,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,595",,"$7,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
Omar Uresti,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,455",,"$7,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0
Ted Purdy,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,780",,"$6,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0
Brendon de Jonge,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,450",,"$6,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Parker McLachlin,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,450",,"$6,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,3.0
Carlos Franco,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,390",,"$6,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0
Matthias Schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"$680,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Paul Waring,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"$200,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,3.0
Lee Westwood,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"$385,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0
Frederick van Rooyen,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"$944,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,4.0,4.0
Victor Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"$536,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,3.0
Christiaan Bezuidenhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$565,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0
Haotong Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$272,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,3.0
Kurt Kitayama,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$254,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0
Jazz Janewattananond,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$238,985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0
Bernd Wiesberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$223,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,3.0
Robert MacIntyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$215,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,3.0
Benjamin Hebert,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$173,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,3.0
Brandon Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$172,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0
Zander Lombard,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$136,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,3.0
Michael Lorenzo-Vera,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$132,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0
Justin Harding,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$126,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,2.0
Yechun Yuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$111,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,2.0
Scott Hend,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$110,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,2.0
Shaun Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0
Jorge Campillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Ryo Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$101,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Joost Luiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,7.0,2.0
Tae Hee Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,3.0
Chan Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$93,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0
Masahiro Kawamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$92,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,3.0
Garrett Osborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,2.0
Mikumu Horikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,5.0,4.0
Chase Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0
Yosuke Asaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,5.0,3.0
Lucas Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$80,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,3.0
Ryan Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0
Andy Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$67,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0
MJ Daffue,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0
Bryce Easton,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$63,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Yi Keun Chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.0
Romain Langasque,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,2.0
Andrea Pavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0
Shugo Imahira,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0
Jake McLeod,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0
Neil Schietekat,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0
Jbe' Kruger,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,2.0
Isaiah Salinda,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,4.0
Matthew Millar,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,3.0
Zecheng Dou,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$47,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,2.0
Richard Sterne,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0
Zhengkai Bai,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0
Wen-Chong Liang,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,4.0,3.0
Ashun Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$46,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,2.0
Jung-gon Hwang,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0
Zach Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0
Daniel Nisbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0
John Oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,15.0,4.0,2.0
Davis Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0
Rikuya Hoshino,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,8.0,3.0
Soomin Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,4.0,2.0
Justin Suh,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0
Sanghyun Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,3.0
Pablo Larrazabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0
Marcus Kinhult,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0
Julián Etulain,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,2.0
Andrew Novak,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,2.0
Sebastian Soderberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Tomoharu Otsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,3.0
Kyongjun Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,3.0
Hyungjoon Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0
Kyle Reifers,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0
Sam Saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,2.0
Rod Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0
Jinichiro Kozuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Steve Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,1.0
Braden Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Calum Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Alvaro Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Wonjoon Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,9.0,2.0
Jeongwoo Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0
Whee Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0
Jeremy Gandon,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Chandler Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,2.0
Hayden Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.0
Trey Mullinax,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0
Brinson Paolini,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,3.0
Sahith Theegala,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Patrick Fishburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,2.0
Chip McDaniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0
Roberto Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0
Peter Kuest,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
Jay McLuen,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
