Tournament,Winner,Season
Sanderson Farms Championship,Mackenzie Hughes (2),2023
Shriners Children's Open,Tom Kim (2),2023
Zozo Championship,Keegan Bradley (5),2023
CJ Cup,Rory McIlroy (23),2023
WGC-HSBC Champions,Canceled,2023
Butterfield Bermuda Championship,Séamus Power (2),2023
World Wide Technology Championship,Russell Henley (4),2023
Cadence Bank Houston Open,Tony Finau (5),2023
RSM Classic,Adam Svensson (1),2023
Sentry Tournament of Champions,Jon Rahm (8),2023
Sony Open in Hawaii,Kim Si-woo (4),2023
The American Express,Jon Rahm (9),2023
Farmers Insurance Open,Max Homa (6),2023
AT&T Pebble Beach Pro-Am,Justin Rose (11),2023
WM Phoenix Open,Scottie Scheffler (5),2023
Genesis Invitational,Jon Rahm (10),2023
The Honda Classic,Chris Kirk (5),2023
Arnold Palmer Invitational,Kurt Kitayama (1),2023
Puerto Rico Open,Nico Echavarría (1),2023
The Players Championship,Scottie Scheffler (6),2023
Valspar Championship,Taylor Moore (1),2023
WGC-Dell Technologies Match Play,Sam Burns (5),2023
Corales Puntacana Championship,Matt Wallace (1),2023
Valero Texas Open,Corey Conners (2),2023
Masters Tournament,Jon Rahm (11),2023
RBC Heritage,Matt Fitzpatrick (2),2023
Zurich Classic of New Orleans,Nick Hardy (1) and  Davis Riley (1),2023
Mexico Open,Tony Finau (6),2023
Wells Fargo Championship,Wyndham Clark (1),2023
AT&T Byron Nelson,Jason Day (13),2023
PGA Championship,Brooks Koepka (9),2023
Charles Schwab Challenge,Emiliano Grillo (2),2023
Memorial Tournament,Viktor Hovland (4),2023
RBC Canadian Open,Nick Taylor (3),2023
U.S. Open,Wyndham Clark (2),2023
Travelers Championship,Keegan Bradley (6),2023
Rocket Mortgage Classic,Rickie Fowler (6),2023
John Deere Classic,Sepp Straka (2),2023
Genesis Scottish Open,Rory McIlroy (24),2023
Barbasol Championship,Vincent Norrman (1),2023
The Open Championship,Brian Harman (3),2023
Barracuda Championship,Akshay Bhatia (1),2023
3M Open,Lee Hodges (1),2023
Wyndham Championship,Lucas Glover (5),2023
FedEx St. Jude Championship,Lucas Glover (6),2023
BMW Championship,Viktor Hovland (5),2023
Tour Championship,Viktor Hovland (6),2023
Fortinet Championship,Sahith Theegala (1),2023
Sanderson Farms Championship,Luke List (2),2023
Shriners Children's Open,Tom Kim (3),2023
Zozo Championship,Collin Morikawa (6),2023
World Wide Technology Championship,Erik van Rooyen (2),2023
Butterfield Bermuda Championship,Camilo Villegas (5),2023
RSM Classic,Ludvig Åberg (1),2023
The Sentry,Chris Kirk (6),2024
Sony Open in Hawaii,Grayson Murray (2),2024
The American Express,Nick Dunlap (a) (1),2024
Farmers Insurance Open,Matthieu Pavon (1),2024
AT&T Pebble Beach Pro-Am,Wyndham Clark (3),2024
WM Phoenix Open,Nick Taylor (4),2024
Genesis Invitational,Hideki Matsuyama (9),2024
Mexico Open,Jake Knapp (1),2024
Cognizant Classic,Austin Eckroat (1),2024
Arnold Palmer Invitational,Scottie Scheffler (7),2024
Puerto Rico Open,Brice Garnett (2),2024
The Players Championship,Scottie Scheffler (8),2024
Valspar Championship,Peter Malnati (2),2024
Texas Children's Houston Open,Stephan Jäger (1),2024
Valero Texas Open,Akshay Bhatia (2),2024
Masters Tournament,Scottie Scheffler (9),2024
Corales Puntacana Championship,Billy Horschel (8),2024
RBC Heritage,Scottie Scheffler (10),2024
Zurich Classic of New Orleans,Shane Lowry (3) and  Rory McIlroy (25),2024
CJ Cup Byron Nelson,Taylor Pendrith (1),2024
Wells Fargo Championship,Rory McIlroy (26),2024
Myrtle Beach Classic,Chris Gotterup (1),2024
PGA Championship,Xander Schauffele (8),2024
Charles Schwab Challenge,Davis Riley (2),2024
RBC Canadian Open,Robert MacIntyre (1),2024
Memorial Tournament,Scottie Scheffler (11),2024
U.S. Open,Bryson DeChambeau (9),2024
Travelers Championship,Scottie Scheffler (12),2024
Rocket Mortgage Classic,Cameron Davis (2),2024
John Deere Classic,Davis Thompson (1),2024
Genesis Scottish Open,Robert MacIntyre (2),2024
ISCO Championship,Harry Hall (1),2024
The Open Championship,Xander Schauffele (9),2024
Barracuda Championship,Nick Dunlap (2),2024
3M Open,Jhonattan Vegas (4),2024
Wyndham Championship,Aaron Rai (1),2024
FedEx St. Jude Championship,Hideki Matsuyama (10),2024
BMW Championship,Keegan Bradley (7),2024
Tour Championship,Scottie Scheffler (13),2024
Procore Championship,Patton Kizzire (3),2024
Sanderson Farms Championship,Kevin Yu (1),2024
Black Desert Championship,Matt McCarty (1),2024
Shriners Children's Open,J. T. Poston (3),2024
Zozo Championship,Nico Echavarría (2),2024
World Wide Technology Championship,Austin Eckroat (2),2024
Butterfield Bermuda Championship,Rafael Campos (1),2024
RSM Classic,Maverick McNealy (1),2024
The Sentry,Hideki Matsuyama (11),2025
Sony Open in Hawaii,Nick Taylor (5),2025
The American Express,Sepp Straka (3),2025
Farmers Insurance Open,Harris English (5),2025
AT&T Pebble Beach Pro-Am,Rory McIlroy (27),2025
WM Phoenix Open,Thomas Detry (1),2025
Genesis Invitational,Ludvig Åberg (2),2025
Mexico Open,Brian Campbell (1),2025
Cognizant Classic,Joe Highsmith (1),2025
Arnold Palmer Invitational,Russell Henley (5),2025
Puerto Rico Open,Karl Vilips (1),2025
The Players Championship,Rory McIlroy (28),2025
Valspar Championship,Viktor Hovland (7),2025
Texas Children's Houston Open,Min Woo Lee (1),2025
Valero Texas Open,Brian Harman (4),2025
Masters Tournament,Rory McIlroy (29),2025
RBC Heritage,Justin Thomas (16),2025
Corales Puntacana Championship,Garrick Higgo (2),2025
Zurich Classic of New Orleans,Ben Griffin (1) and  Andrew Novak (1),2025
CJ Cup Byron Nelson,Scottie Scheffler (14),2025
Truist Championship,Sepp Straka (4),2025
Oneflight Myrtle Beach Classic,Ryan Fox (1),2025
PGA Championship,Scottie Scheffler (15),2025
Charles Schwab Challenge,Ben Griffin (2),2025
Memorial Tournament,Scottie Scheffler (16),2025
RBC Canadian Open,Ryan Fox (2),2025
U.S. Open,J. J. Spaun (2),2025
Travelers Championship,Keegan Bradley (8),2025
Rocket Classic,Aldrich Potgieter (1),2025
John Deere Classic,Brian Campbell (2),2025
Genesis Scottish Open,Chris Gotterup (2),2025
ISCO Championship,William Mouw (1),2025
The Open Championship,Scottie Scheffler (17),2025
Barracuda Championship,Ryan Gerard (1),2025
3M Open,Kurt Kitayama (2),2025
Wyndham Championship,Cameron Young (1),2025
FedEx St. Jude Championship,Justin Rose (12),2025
BMW Championship,Scottie Scheffler (18),2025
Tour Championship,Tommy Fleetwood (1),2025
Procore Championship,Scottie Scheffler (19),2025
Sanderson Farms Championship,Steven Fisk (1),2025
Baycurrent Classic,Xander Schauffele (10),2025
Bank of Utah Championship,Michael Brennan (1),2025
World Wide Technology Championship,Ben Griffin (3),2025
Butterfield Bermuda Championship,Adam Schenk (1),2025
RSM Classic,Sami Välimäki (1),2025
The Sentry,Canceled,2026
Sony Open in Hawaii,Chris Gotterup (3),2026
The American Express,Scottie Scheffler (20),2026
Farmers Insurance Open,Justin Rose (13),2026
WM Phoenix Open,Chris Gotterup (4),2026
AT&T Pebble Beach Pro-Am,Collin Morikawa (7),2026
Genesis Invitational,Jacob Bridgeman (1),2026
Cognizant Classic,Nico Echavarría (3),2026
Arnold Palmer Invitational,Akshay Bhatia (3),2026
Puerto Rico Open,Ricky Castillo (1),2026
The Players Championship,Cameron Young (2),2026
Valspar Championship,Matt Fitzpatrick (3),2026
Texas Children's Houston Open,Gary Woodland (5),2026
Valero Texas Open,J. J. Spaun (3),2026
Masters Tournament,Rory McIlroy (30),2026
RBC Heritage,Matt Fitzpatrick (4),2026
Zurich Classic of New Orleans,Alex Fitzpatrick (1) and  Matt Fitzpatrick (5),2026
Cadillac Championship,Cameron Young (3),2026
