Player,Year,Rounds,Avg_Drive_Distance,GIR_Percentage,SG_Total,Scoring_Avg,Money,Wins,Tournaments_Won
PAT PEREZ,2011.0,76.0,291.4,65.42,0.492,70.826,1295253.0,0,
PAUL GOYDOS,2011.0,81.0,274.8,64.47,-0.594,71.722,1385328.0,0,
PAUL STANKOWSKI,2011.0,78.0,283.9,65.2,-0.02,71.165,290211.0,0,
PHIL MICKELSON,2011.0,79.0,299.8,66.96,1.182,69.891,3763488.0,1,Shell Houston Open
RETIEF GOOSEN,2011.0,50.0,289.9,64.4,0.405,70.731,796360.0,0,
RICH BEEM,2011.0,53.0,286.1,61.95,-1.281,72.76,135225.0,0,
RICHARD JOHNSON,2011.0,64.0,276.6,63.41,-1.044,71.902,212106.0,0,
RICKIE FOWLER,2011.0,84.0,299.5,64.47,0.917,70.007,2084681.0,0,
RICKY BARNES,2011.0,78.0,293.3,66.52,0.224,70.572,951587.0,0,
ROBERT ALLENBY,2011.0,84.0,290.2,67.54,0.818,70.284,1452567.0,0,
ROBERT GARRIGUS,2011.0,83.0,313.4,66.13,0.139,70.931,1503923.0,0,
ROBERT KARLSSON,2011.0,61.0,299.2,63.37,0.678,70.211,1779815.0,0,
ROCCO MEDIATE,2011.0,53.0,275.5,62.16,-1.522,72.975,136299.0,0,
ROD PAMPLING,2011.0,72.0,291.6,65.89,0.497,70.803,668768.0,0,
ROLAND THATCHER,2011.0,67.0,293.1,64.26,-0.491,71.478,666371.0,0,
RORY SABBATINI,2011.0,85.0,292.5,65.84,0.719,70.46,2420655.0,1,The Honda Classic
RYAN MOORE,2011.0,79.0,290.1,62.89,0.827,70.345,1942906.0,0,
RYAN PALMER,2011.0,82.0,299.5,63.75,-0.125,70.847,1850530.0,0,
RYUJI IMADA,2011.0,83.0,283.4,64.26,-0.117,71.115,990319.0,0,
SCOTT GUTSCHEWSKI,2011.0,67.0,298.0,62.62,-0.667,71.582,229758.0,0,
SCOTT MCCARRON,2011.0,65.0,291.6,60.75,-0.347,71.127,436270.0,0,
SCOTT PIERCY,2011.0,78.0,305.4,65.84,0.346,70.792,1250957.0,1,RenoâTahoe Open
SCOTT STALLINGS,2011.0,84.0,303.7,66.6,0.059,71.036,1957162.0,1,Greenbrier Classic
SEAN O'HAIR,2011.0,71.0,294.6,63.17,-0.089,70.81,1483948.0,1,RBC Canadian Open
SERGIO GARCIA,2011.0,61.0,299.2,66.85,0.984,69.564,1524091.0,0,
SHANE BERTSCH,2011.0,62.0,280.1,64.38,0.367,70.869,488584.0,0,
SHAUN MICHEEL,2011.0,77.0,286.1,63.01,-0.575,71.675,206450.0,0,
SPENCER LEVIN,2011.0,113.0,286.3,67.99,0.846,69.851,2320038.0,0,
STEPHEN AMES,2011.0,69.0,283.8,65.3,-0.262,71.121,547589.0,0,
STEVE ELKINGTON,2011.0,50.0,285.4,66.44,-0.34,71.598,176225.0,0,
STEVE FLESCH,2011.0,88.0,282.5,59.85,-0.255,71.119,594622.0,0,
STEVE MARINO,2011.0,76.0,295.2,65.79,0.565,70.735,1975076.0,0,
STEVE STRICKER,2011.0,70.0,288.8,66.02,1.73,69.362,3992785.0,2,"Memorial Tournament, John Deere Classic"
STEVEN BOWDITCH,2011.0,86.0,308.3,63.62,-0.267,71.221,621378.0,0,
STEWART CINK,2011.0,72.0,291.8,64.31,0.67,70.7,909162.0,0,
STUART APPLEBY,2011.0,65.0,287.5,61.62,-0.663,71.554,657150.0,0,
SUNG KANG,2011.0,63.0,294.2,64.78,-0.184,70.849,702382.0,0,
TAG RIDINGS,2011.0,87.0,303.3,63.58,-0.237,71.325,382670.0,0,
TIM HERRON,2011.0,85.0,291.8,65.64,0.122,70.634,909135.0,0,
TIM PETROVIC,2011.0,88.0,280.5,62.17,-0.119,71.326,428011.0,0,
TOM GILLIS,2011.0,55.0,290.1,66.36,-0.573,71.134,814147.0,0,
TOMMY GAINEY,2011.0,104.0,296.7,67.0,0.27,70.814,2174191.0,0,
TREVOR IMMELMAN,2011.0,84.0,288.5,68.12,0.333,70.433,1165604.0,0,
TROY MATTESON,2011.0,91.0,300.2,65.64,-0.162,71.184,946989.0,0,
TROY MERRITT,2011.0,63.0,286.8,64.12,-1.031,72.083,151475.0,0,
VAUGHN TAYLOR,2011.0,89.0,284.1,66.04,0.077,70.909,423907.0,0,
VIJAY SINGH,2011.0,79.0,294.3,66.46,0.6,70.61,2371050.0,0,
WEBB SIMPSON,2011.0,98.0,296.2,69.84,1.764,69.252,6347353.0,2,"Wyndham Championship, Deutsche Bank Championship"
WILL STRICKLER,2011.0,51.0,304.1,62.06,-1.0,72.177,109031.0,0,
WILLIAM MCGIRT,2011.0,103.0,289.9,68.63,0.162,70.726,532933.0,0,
WOODY AUSTIN,2011.0,59.0,287.6,66.88,0.487,70.943,354042.0,0,
Y.E. YANG,2011.0,63.0,290.2,62.52,0.27,70.277,2314865.0,0,
ZACH JOHNSON,2011.0,79.0,278.2,66.38,1.033,69.966,1880406.0,0,
ZACK MILLER,2011.0,86.0,299.5,61.79,-1.051,71.89,427341.0,0,
Ã?NGEL CABRERA,2011.0,50.0,301.6,63.89,0.172,70.696,628079.0,0,
ÃÂNGEL CABRERA,2011.0,50.0,301.6,63.89,0.172,70.696,628079.0,0,
AARON BADDELEY,2012.0,73.0,292.0,58.1,0.143,71.113,1215753.0,0,
ADAM SCOTT,2012.0,59.0,304.6,66.57,1.164,69.533,2899557.0,0,
ALEXANDRE ROCHA,2012.0,62.0,284.6,66.87,-0.856,72.039,614658.0,0,
ANDRES ROMERO,2012.0,68.0,292.0,61.3,-0.409,71.543,970919.0,0,
ARJUN ATWAL,2012.0,79.0,285.1,63.85,-0.66,71.634,348770.0,0,
BEN CRANE,2012.0,73.0,286.8,64.81,0.591,70.708,1701365.0,0,
BEN CURTIS,2012.0,62.0,274.8,68.87,0.906,70.538,2494153.0,1,Valero Texas Open
BILL HAAS,2012.0,79.0,292.2,65.17,0.668,70.484,2349951.0,1,Northern Trust Open
BILL LUNDE,2012.0,83.0,290.5,67.56,0.305,71.062,593598.0,0,
BILLY HORSCHEL,2012.0,63.0,290.2,68.79,0.391,70.494,486177.0,0,
BILLY HURLEY III,2012.0,70.0,275.3,57.74,-1.324,72.116,474130.0,0,
BILLY MAYFAIR,2012.0,90.0,286.8,64.02,-0.077,70.948,619961.0,0,
BLAKE ADAMS,2012.0,107.0,288.4,65.91,0.356,70.586,1234345.0,0,
BO VAN PELT,2012.0,84.0,296.1,67.07,1.437,69.718,3043509.0,0,
BOB ESTES,2012.0,78.0,285.2,62.39,0.362,70.418,1009769.0,0,
BOBBY GATES,2012.0,87.0,300.2,65.39,-0.265,71.208,525293.0,0,
BOO WEEKLEY,2012.0,74.0,296.8,69.53,-0.082,70.966,848347.0,0,
BRANDT JOBE,2012.0,57.0,299.2,64.68,0.053,71.064,344332.0,0,
BRANDT SNEDEKER,2012.0,81.0,288.7,63.75,1.01,69.84,4989739.0,2,"Farmers Insurance Open, Tour Championship"
BRENDAN STEELE,2012.0,77.0,288.8,65.3,-0.517,71.887,840965.0,0,
BRENDON DE JONGE,2012.0,115.0,288.8,69.17,1.083,70.137,2015252.0,0,
BRENDON TODD,2012.0,78.0,283.6,60.0,-1.19,71.873,474295.0,0,
BRIAN DAVIS,2012.0,91.0,277.1,63.47,0.594,70.807,1318032.0,0,
BRIAN GAY,2012.0,91.0,277.7,62.71,0.148,70.767,960658.0,0,
BRIAN HARMAN,2012.0,101.0,290.3,63.92,0.199,70.821,1146448.0,0,
BRYCE MOLDER,2012.0,83.0,277.5,64.91,0.321,71.028,1166115.0,0,
BUBBA WATSON,2012.0,68.0,315.5,69.95,1.529,69.639,4644997.0,1,Masters Tournament
BUD CAULEY,2012.0,99.0,291.6,66.55,0.721,70.458,1774479.0,0,
CAMERON BECKMAN,2012.0,81.0,285.2,65.3,-0.689,71.726,287506.0,0,
CAMERON TRINGALE,2012.0,88.0,290.4,66.6,0.356,71.023,1225737.0,0,
CAMILO VILLEGAS,2012.0,79.0,290.3,69.55,-0.174,71.079,491729.0,0,
CARL PETTERSSON,2012.0,92.0,297.1,63.89,0.867,70.013,3538656.0,1,RBC Heritage
CHAD CAMPBELL,2012.0,84.0,290.1,67.13,0.283,70.566,895199.0,0,
CHARL SCHWARTZEL,2012.0,56.0,295.8,62.65,0.925,70.281,1138844.0,0,
CHARLES HOWELL III,2012.0,98.0,294.6,66.61,0.679,70.385,1284578.0,0,
CHARLEY HOFFMAN,2012.0,88.0,295.5,66.35,0.087,71.139,1276663.0,0,
CHARLIE BELJAN,2012.0,61.0,311.6,66.46,-0.485,71.401,1373528.0,1,Children's Miracle Network Hospitals Classic
CHARLIE WI,2012.0,86.0,285.6,59.69,0.283,70.697,1845397.0,0,
CHEZ REAVIE,2012.0,83.0,282.5,66.13,-0.045,71.334,580617.0,0,
CHRIS COUCH,2012.0,61.0,293.8,63.65,0.125,70.977,335848.0,0,
CHRIS DIMARCO,2012.0,83.0,273.0,60.55,-0.477,71.488,468298.0,0,
CHRIS KIRK,2012.0,93.0,291.8,66.6,0.244,70.891,1197562.0,0,
CHRIS STROUD,2012.0,86.0,286.6,63.37,0.121,70.878,903570.0,0,
COLT KNOST,2012.0,79.0,272.5,62.12,-0.981,71.798,848197.0,0,
D.A. POINTS,2012.0,88.0,284.0,66.48,0.284,70.946,1533361.0,0,
D.J. TRAHAN,2012.0,73.0,292.2,65.94,-0.726,71.563,611142.0,0,
DANIEL CHOPRA,2012.0,55.0,295.6,59.8,-0.679,71.872,192198.0,0,
DANIEL SUMMERHAYS,2012.0,81.0,289.3,67.68,0.126,70.722,1111522.0,0,
DANNY LEE,2012.0,74.0,291.9,65.24,0.037,71.062,359112.0,0,
DAVID HEARN,2012.0,95.0,286.7,66.32,0.261,70.802,1012575.0,0,
DAVID MATHIS,2012.0,83.0,278.1,61.04,-0.105,71.333,736765.0,0,
DAVID TOMS,2012.0,60.0,275.5,66.09,0.191,70.74,1658428.0,0,
DAVIS LOVE III,2012.0,64.0,296.3,65.02,0.867,70.194,989753.0,0,
DEREK LAMELY,2012.0,64.0,289.1,60.3,-1.035,71.876,185479.0,0,
DICKY PRIDE,2012.0,62.0,285.9,64.51,-0.09,70.871,1259712.0,0,
DUSTIN JOHNSON,2012.0,70.0,310.2,65.75,1.509,69.564,3393820.0,1,FedEx St. Jude Classic
EDWARD LOAR,2012.0,59.0,295.6,62.05,-1.118,71.922,97947.0,0,
ERIK COMPTON,2012.0,81.0,297.2,62.48,-0.517,71.499,359765.0,0,
ERNIE ELS,2012.0,80.0,294.6,66.52,0.677,70.131,3453118.0,1,The Open Championship
FREDDIE JACOBSON,2012.0,61.0,287.4,61.85,0.109,70.561,953494.0,0,
GARTH MULROY,2012.0,59.0,293.7,65.11,-0.031,71.192,277632.0,0,
GARY CHRISTIAN,2012.0,91.0,281.9,66.99,0.149,70.82,616457.0,0,
GARY WOODLAND,2012.0,70.0,301.6,64.01,-0.293,71.552,592879.0,0,
GAVIN COLES,2012.0,72.0,271.2,64.23,-0.289,71.397,247561.0,0,
GEOFF OGILVY,2012.0,73.0,290.1,63.66,0.691,70.436,1255223.0,0,
GEORGE MCNEILL,2012.0,85.0,288.8,63.03,0.013,71.011,1119535.0,1,Puerto Rico Open
GRAEME MCDOWELL,2012.0,55.0,285.5,66.26,0.372,70.229,2408279.0,0,
GRAHAM DELAET,2012.0,79.0,304.3,66.74,0.322,70.624,1051951.0,0,
GREG CHALMERS,2012.0,88.0,282.0,59.83,0.642,70.417,1166627.0,0,
GREG OWEN,2012.0,90.0,295.9,68.58,0.298,70.444,1151622.0,0,
HARRIS ENGLISH,2012.0,98.0,300.3,67.74,0.299,70.688,1186003.0,0,
HARRISON FRAZAR,2012.0,56.0,297.7,61.21,-0.551,71.739,730203.0,0,
HEATH SLOCUM,2012.0,93.0,278.9,67.84,-0.035,70.911,518198.0,0,
HENRIK STENSON,2012.0,51.0,289.5,65.37,0.915,70.239,791107.0,0,
HUNTER HAAS,2012.0,69.0,287.6,63.14,-0.109,71.205,399364.0,0,
HUNTER MAHAN,2012.0,88.0,293.1,68.97,0.541,70.346,4019193.0,2,"WGC-Accenture Match Play Championship, Shell Houston Open"
IAN POULTER,2012.0,57.0,285.0,61.61,0.564,70.176,1715271.0,0,
J.B. HOLMES,2012.0,90.0,309.7,64.5,0.496,70.924,1179505.0,0,
J.J. HENRY,2012.0,93.0,288.1,68.24,0.255,70.939,1297802.0,0,
J.J. KILLEEN,2012.0,101.0,289.9,60.27,-0.449,71.502,414257.0,0,
JAMES DRISCOLL,2012.0,83.0,291.1,62.38,-0.059,71.246,687338.0,0,
JASON BOHN,2012.0,81.0,279.2,64.59,-0.18,71.248,795549.0,0,
JASON DAY,2012.0,57.0,308.6,61.31,1.024,70.152,1143233.0,0,
JASON DUFNER,2012.0,83.0,292.4,69.17,1.446,69.456,4869304.0,2,"Zurich Classic of New Orleans, HP Byron Nelson Championship"
JASON KOKRAK,2012.0,79.0,304.1,66.0,-0.447,71.445,750221.0,0,
JEFF MAGGERT,2012.0,83.0,285.3,65.66,0.03,70.883,682742.0,0,
JEFF OVERTON,2012.0,101.0,292.0,66.32,0.883,70.197,1563670.0,0,
JERRY KELLY,2012.0,84.0,276.1,65.63,-0.067,70.955,645701.0,0,
JHONATTAN VEGAS,2012.0,77.0,304.6,66.07,-0.387,71.44,801803.0,0,
JIM FURYK,2012.0,85.0,280.0,68.19,1.752,69.304,3623805.0,0,
JIMMY WALKER,2012.0,101.0,296.5,64.3,0.547,70.556,1638419.0,0,
JOHN DALY,2012.0,50.0,306.7,62.08,-0.406,70.879,488505.0,0,
JOHN HUH,2012.0,99.0,288.3,66.44,0.564,70.384,2692113.0,1,Mayakoba Golf Classic
JOHN MALLINGER,2012.0,74.0,281.4,66.51,0.218,70.699,1146852.0,0,
JOHN MERRICK,2012.0,83.0,293.3,69.13,0.191,70.701,1084628.0,0,
JOHN ROLLINS,2012.0,81.0,295.4,66.16,0.431,70.618,1489155.0,0,
JOHN SENDEN,2012.0,81.0,291.0,68.59,1.0,70.05,1916651.0,0,
JOHNSON WAGNER,2012.0,88.0,284.0,65.91,0.385,70.899,2225007.0,1,Sony Open in Hawaii
JONAS BLIXT,2012.0,72.0,286.3,63.65,1.062,70.244,2255695.0,1,Frys.com Open
JONATHAN BYRD,2012.0,69.0,289.5,63.64,0.506,70.753,1616789.0,0,
JOSH TEATER,2012.0,97.0,298.6,67.5,0.128,70.953,1011430.0,0,
JUSTIN LEONARD,2012.0,79.0,279.4,60.44,-0.615,71.583,540155.0,0,
JUSTIN ROSE,2012.0,69.0,290.9,70.34,1.64,69.549,4290930.0,1,WGC-Cadillac Championship
K.J. CHOI,2012.0,71.0,282.3,63.57,0.255,70.886,969057.0,0,
KEEGAN BRADLEY,2012.0,90.0,302.7,66.54,1.122,69.984,3910658.0,1,WGC-Bridgestone Invitational
KEN DUKE,2012.0,104.0,282.6,64.61,0.654,70.376,1511628.0,0,
KEVIN CHAPPELL,2012.0,91.0,293.3,64.11,-0.081,70.89,647510.0,0,
KEVIN KISNER,2012.0,69.0,287.9,62.48,-0.139,71.342,346216.0,0,
KEVIN NA,2012.0,80.0,281.5,62.03,0.445,70.634,2029943.0,0,
KEVIN STADLER,2012.0,85.0,292.9,67.75,0.439,70.525,1546036.0,0,
KEVIN STREELMAN,2012.0,89.0,292.8,66.22,0.268,70.821,893736.0,0,
KRIS BLANKS,2012.0,65.0,284.5,66.84,-0.061,71.201,390059.0,0,
KYLE REIFERS,2012.0,86.0,290.0,67.41,0.058,71.16,448960.0,0,
KYLE STANLEY,2012.0,86.0,306.9,67.06,0.384,70.633,2351857.0,1,Waste Management Phoenix Open
KYLE THOMPSON,2012.0,51.0,284.2,64.78,-1.398,72.296,45460.0,0,
LEE WESTWOOD,2012.0,60.0,298.1,69.75,0.784,70.084,3016569.0,0,
LOUIS OOSTHUIZEN,2012.0,65.0,299.5,68.78,0.976,69.707,3460995.0,0,
LUKE DONALD,2012.0,63.0,280.1,64.96,1.641,69.687,3512024.0,1,Transitions Championship
MARC LEISHMAN,2012.0,84.0,289.4,62.76,0.212,70.831,1933761.0,1,Travelers Championship
MARCO DAWSON,2012.0,60.0,285.9,62.76,-1.215,72.304,79727.0,0,
MARK ANDERSON,2012.0,75.0,295.7,63.85,-0.875,71.692,441019.0,0,
MARK WILSON,2012.0,84.0,276.0,64.03,-0.245,71.375,2144780.0,1,Humana Challenge
MARTIN FLORES,2012.0,95.0,295.0,63.98,0.419,70.538,1035569.0,0,
MARTIN LAIRD,2012.0,77.0,298.2,65.3,0.549,70.989,2172883.0,0,
MATHEW GOGGIN,2012.0,65.0,290.8,67.3,-0.327,71.449,259604.0,0,
MATT BETTENCOURT,2012.0,80.0,288.2,58.95,-1.262,72.182,335076.0,0,
MATT EVERY,2012.0,80.0,285.5,66.23,0.613,70.789,1972166.0,0,
MATT JONES,2012.0,53.0,293.7,64.74,-0.557,71.367,300254.0,0,
MATT KUCHAR,2012.0,86.0,286.2,65.38,1.382,69.477,3903065.0,1,The Players Championship
MICHAEL BRADLEY,2012.0,63.0,284.5,65.35,-0.954,72.059,191746.0,0,
MICHAEL THOMPSON,2012.0,80.0,283.4,63.26,0.106,70.718,1408374.0,0,
MIGUEL ANGEL CARBALLO,2012.0,73.0,289.5,64.79,-1.17,71.918,269980.0,0,
NATHAN GREEN,2012.0,73.0,283.8,66.92,-0.1,70.991,366651.0,0,
NICK O'HERN,2012.0,78.0,268.9,63.29,-0.489,71.579,489375.0,0,
NICK WATNEY,2012.0,97.0,296.8,66.43,0.536,70.577,3044224.0,1,The Barclays
PADRAIG HARRINGTON,2012.0,67.0,293.6,62.17,0.888,69.736,1546272.0,0,
PAT PEREZ,2012.0,81.0,291.5,65.05,0.763,70.378,1064053.0,0,
PATRICK SHEEHAN,2012.0,58.0,279.3,62.93,-1.261,71.95,129590.0,0,
PHIL MICKELSON,2012.0,79.0,294.4,64.14,1.422,70.03,4203821.0,1,AT&T Pebble Beach National Pro-Am
RICHARD LEE,2012.0,71.0,285.6,68.29,0.179,70.809,547733.0,0,
RICKIE FOWLER,2012.0,84.0,293.2,64.99,0.518,70.606,3066293.0,1,Wells Fargo Championship
RICKY BARNES,2012.0,92.0,292.0,67.36,-0.203,71.163,805408.0,0,
ROBERT ALLENBY,2012.0,76.0,286.7,65.79,-0.626,71.355,808927.0,0,
ROBERT GARRIGUS,2012.0,89.0,310.3,69.23,0.988,70.066,3206530.0,0,
ROBERT KARLSSON,2012.0,54.0,294.7,63.25,-0.469,71.453,393340.0,0,
ROBERTO CASTRO,2012.0,92.0,290.6,68.41,0.591,70.434,755095.0,0,
ROCCO MEDIATE,2012.0,70.0,280.7,64.84,-0.108,71.218,242354.0,0,
ROD PAMPLING,2012.0,88.0,288.8,64.93,-0.02,71.038,620893.0,0,
ROLAND THATCHER,2012.0,55.0,288.9,67.8,-1.158,71.646,396801.0,0,
RORY MCILROY,2012.0,60.0,310.1,66.36,2.406,68.873,8047952.0,4,"The Honda Classic, PGA Championship, Deutsche Bank Championship, BMW Championship"
RORY SABBATINI,2012.0,84.0,287.4,62.24,-0.014,71.125,1128820.0,0,
RUSSELL KNOX,2012.0,72.0,285.8,69.36,0.179,70.905,512584.0,0,
RYAN MOORE,2012.0,89.0,287.6,66.35,0.847,70.3,2858944.0,1,Justin Timberlake Shriners Hospitals for Children Open
RYAN PALMER,2012.0,81.0,303.1,65.16,1.003,70.252,1501215.0,0,
RYO ISHIKAWA,2012.0,54.0,290.0,59.61,-0.038,70.854,,0,
RYUJI IMADA,2012.0,78.0,276.4,60.6,-0.91,71.978,238648.0,0,
SANGMOON BAE,2012.0,81.0,289.8,59.81,-1.053,71.629,1165952.0,0,
SCOTT BROWN,2012.0,65.0,291.2,64.5,-0.771,71.835,478763.0,0,
SCOTT DUNLAP,2012.0,57.0,281.4,67.21,-0.6,71.653,230220.0,0,
SCOTT PIERCY,2012.0,95.0,304.5,65.73,0.857,70.409,2699205.0,1,RBC Canadian Open
SCOTT STALLINGS,2012.0,78.0,302.4,66.38,-0.323,71.49,1293739.0,1,True South Classic
SEAN O'HAIR,2012.0,84.0,297.5,68.25,0.368,70.615,1160981.0,0,
SERGIO GARCIA,2012.0,57.0,292.4,64.98,1.104,69.928,2510116.0,0,
SEUNG-YUL NOH,2012.0,105.0,300.4,67.41,0.721,70.256,1629751.0,0,
SPENCER LEVIN,2012.0,81.0,283.7,60.97,0.262,70.776,1283616.0,0,
STEPHEN AMES,2012.0,54.0,283.7,62.18,-0.906,71.511,193686.0,0,
STEPHEN GANGLUFF,2012.0,57.0,291.5,59.15,-1.959,72.995,58702.0,0,
STEVE STRICKER,2012.0,73.0,285.4,68.33,1.295,69.865,3420021.0,1,Hyundai Tournament of Champions
STEVE WHEATCROFT,2012.0,56.0,286.9,66.22,-0.506,71.584,135196.0,0,
STEWART CINK,2012.0,71.0,288.8,64.26,-0.228,71.483,477173.0,0,
STUART APPLEBY,2012.0,75.0,283.3,64.79,-0.128,71.095,377559.0,0,
SUNG KANG,2012.0,75.0,285.7,59.15,-1.761,72.571,169439.0,0,
"TED POTTER, JR.",2012.0,77.0,284.5,63.32,-0.823,71.71,1383170.0,0,
TIGER WOODS,2012.0,69.0,297.4,67.58,2.31,68.904,6133158.0,3,"Arnold Palmer Invitational, Memorial Tournament, AT&T National"
TIM CLARK,2012.0,60.0,276.7,64.26,0.301,70.697,1407028.0,0,
TIM HERRON,2012.0,88.0,289.4,67.36,0.334,70.781,660279.0,0,
TOM GILLIS,2012.0,75.0,289.0,63.85,0.339,70.812,1238058.0,0,
TOM PERNICE JR.,2012.0,62.0,273.9,61.69,-1.127,72.137,189907.0,0,
TOMMY BIERSHENK,2012.0,74.0,285.4,59.89,-1.227,72.494,107266.0,0,
TOMMY GAINEY,2012.0,98.0,297.2,62.3,-0.517,71.54,1540749.0,1,McGladrey Classic
TREVOR IMMELMAN,2012.0,76.0,290.9,63.45,0.365,71.37,617296.0,0,
TROY KELLY,2012.0,68.0,299.5,63.17,-0.692,71.531,786832.0,0,
TROY MATTESON,2012.0,100.0,298.9,64.01,-0.051,71.247,1198953.0,0,
VAUGHN TAYLOR,2012.0,81.0,286.0,66.3,0.03,71.059,547129.0,0,
VIJAY SINGH,2012.0,99.0,295.4,66.22,0.763,70.156,1586305.0,0,
WEBB SIMPSON,2012.0,77.0,288.6,67.47,1.123,70.04,3436758.0,1,U.S. Open
WILL CLAXTON,2012.0,99.0,290.4,69.06,0.512,70.369,780969.0,0,
WILLIAM MCGIRT,2012.0,96.0,285.4,66.3,0.253,70.729,1228947.0,0,
Y.E. YANG,2012.0,64.0,284.9,58.51,-0.146,71.005,454276.0,0,
ZACH JOHNSON,2012.0,95.0,281.1,64.95,1.197,69.821,4504244.0,2,"Crowne Plaza Invitational at Colonial, John Deere Classic"
Ã?NGEL CABRERA,2012.0,54.0,299.7,63.33,-0.451,71.581,283385.0,0,
ÃÂNGEL CABRERA,2012.0,54.0,299.7,63.33,-0.451,71.581,283385.0,0,
AARON BADDELEY,2013.0,68.0,288.5,58.0,-0.319,71.503,721024.0,0,
AARON WATKINS,2013.0,46.0,277.1,62.25,-0.589,71.77,217495.0,0,
ADAM SCOTT,2013.0,61.0,297.8,68.8,1.31,69.3,4892611.0,2,"Masters Tournament, The Barclays"
ALISTAIR PRESNELL,2013.0,59.0,284.6,62.28,-1.03,71.951,163134.0,0,
ANDRES ROMERO,2013.0,63.0,293.1,61.3,-0.2,71.256,718507.0,0,
ANDREW SVOBODA,2013.0,46.0,290.1,65.91,-0.562,71.747,77219.0,0,
BEN CRANE,2013.0,62.0,281.0,63.98,0.199,70.864,796947.0,0,
BEN CURTIS,2013.0,59.0,274.9,63.84,-0.248,71.531,372543.0,0,
BEN KOHLES,2013.0,75.0,279.0,65.26,-0.459,71.488,419416.0,0,
BILL HAAS,2013.0,85.0,288.2,67.79,1.265,70.023,3475563.0,1,AT&T National
BILLY HORSCHEL,2013.0,96.0,293.8,67.48,0.656,70.244,3501703.0,1,Zurich Classic of New Orleans
BO VAN PELT,2013.0,72.0,285.9,65.63,-0.07,71.08,956629.0,0,
BOB ESTES,2013.0,66.0,285.0,64.9,0.759,70.361,769717.0,0,
BOBBY GATES,2013.0,49.0,296.2,62.84,-1.398,72.59,320248.0,0,
BOO WEEKLEY,2013.0,100.0,290.9,69.39,0.099,70.611,2786662.0,1,Crowne Plaza Invitational at Colonial
BRAD FRITSCH,2013.0,81.0,297.0,66.59,-0.046,71.085,452184.0,0,
BRANDT JOBE,2013.0,62.0,292.1,66.0,0.121,71.175,309105.0,0,
BRANDT SNEDEKER,2013.0,79.0,281.3,65.68,1.141,69.791,5318087.0,2,"AT&T Pebble Beach National Pro-Am, RBC Canadian Open"
BRENDAN STEELE,2013.0,86.0,290.7,65.99,0.023,71.053,1004161.0,0,
BRENDON DE JONGE,2013.0,110.0,286.3,68.84,0.756,70.154,1795244.0,0,
BRIAN DAVIS,2013.0,91.0,278.8,62.15,0.689,70.69,1221524.0,0,
BRIAN GAY,2013.0,79.0,275.1,56.68,-0.266,71.16,1426017.0,1,Humana Challenge
BRIAN HARMAN,2013.0,89.0,287.5,62.61,-0.296,71.29,909759.0,0,
BRIAN STUARD,2013.0,78.0,281.8,65.77,-0.068,70.869,1032028.0,0,
BRYCE MOLDER,2013.0,82.0,273.8,63.68,0.504,70.52,816922.0,0,
BUBBA WATSON,2013.0,76.0,303.7,69.41,1.069,70.276,1759276.0,0,
BUD CAULEY,2013.0,67.0,287.5,63.76,-0.247,71.445,443698.0,0,
CAMERON PERCY,2013.0,68.0,293.6,65.74,-0.167,71.106,277336.0,0,
CAMERON TRINGALE,2013.0,80.0,287.2,67.01,0.343,70.724,971209.0,0,
CAMILO VILLEGAS,2013.0,79.0,291.8,66.74,0.458,70.586,709677.0,0,
CARL PETTERSSON,2013.0,82.0,290.2,62.22,-0.129,71.273,738143.0,0,
CASEY WITTENBERG,2013.0,72.0,280.5,62.14,-0.62,71.659,425395.0,0,
CHAD CAMPBELL,2013.0,78.0,288.9,67.03,-0.044,71.234,510661.0,0,
CHARL SCHWARTZEL,2013.0,69.0,296.1,65.85,1.268,69.651,2256723.0,0,
CHARLES HOWELL III,2013.0,87.0,294.8,66.73,0.862,70.272,1877389.0,0,
CHARLEY HOFFMAN,2013.0,84.0,294.0,65.48,0.578,70.497,1582423.0,0,
CHARLIE BELJAN,2013.0,62.0,295.4,64.61,-0.524,71.839,916229.0,0,
CHARLIE WI,2013.0,75.0,282.1,60.56,-0.251,71.174,656672.0,0,
CHEZ REAVIE,2013.0,72.0,282.8,66.74,0.375,70.6,590925.0,0,
CHRIS KIRK,2013.0,89.0,289.0,65.92,0.962,70.206,1728616.0,0,
CHRIS STROUD,2013.0,88.0,277.0,64.33,0.616,70.546,1602122.0,0,
COLT KNOST,2013.0,69.0,271.7,61.71,-1.279,72.264,176710.0,0,
D.A. POINTS,2013.0,87.0,281.1,62.77,0.0,71.116,2658887.0,0,
D.H. LEE,2013.0,65.0,280.9,65.98,-0.176,71.187,882793.0,0,
D.J. TRAHAN,2013.0,48.0,293.4,67.87,-0.531,71.429,284249.0,0,
DANIEL SUMMERHAYS,2013.0,83.0,285.7,64.46,0.453,70.813,1277886.0,0,
DARRON STILES,2013.0,51.0,275.1,62.24,-0.912,71.947,184866.0,0,
DAVID HEARN,2013.0,88.0,279.7,64.71,0.345,70.738,1171515.0,0,
DAVID LINGMERTH,2013.0,68.0,285.8,63.24,0.015,70.996,1748109.0,0,
DAVID LYNN,2013.0,70.0,277.9,62.48,0.361,71.016,1633253.0,0,
DAVID MATHIS,2013.0,71.0,280.6,63.6,-1.149,72.222,274477.0,0,
